"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EP001","Feature13 : Industries button ","Story : Industries button enabled ","0","0","1","0","0"
"EP001","Feature3 : Drop down box","Story : Drop down box display...!","0","0","1","0","0"
"EP001","Feature14 : Company button ","Story : Company button enabled ","0","0","1","0","0"
"EP001","Feature10 : Service button ","Story : Service button enabled ","0","0","1","0","0"
"EP001","Feature8 : Auction Management ","Story : Auction Management ","0","0","1","0","0"
"EP001","Feature5 : Enquiry Button ","Story : enquiry Button ","0","0","1","0","0"
"EP001","Feature9 : Expertise button ","Story : Expertise button enabled ","0","0","1","0","0"
"EP001","Feature2 : Page Title","Story : Page Title displayed","0","0","1","0","0"
"EP001","Feature1 : Logo","Story : Logo Presence","0","0","1","0","0"
"EP001","Feature15 : Contact button ","Story : Contact button enabled ","0","0","1","0","0"
"EP001","Feature11 : Solution button ","Story : Solution button enabled ","0","0","1","0","0"
"EP001","Feature6 : T&E Management ","Story : Travel Expense ","0","0","1","0","0"
"EP001","Feature7 : Procurement Management ","Story : Procurement Management ","0","0","1","0","0"
"EP001","Feature4 : Company year","Story : Company Opened","0","0","1","0","0"
"EP001","Feature12 : Products button ","Story : Products button enabled ","0","0","1","0","0"
